Date,Region,Crop_Type,Pest_Type,Severity,Treatment,Health_Status
2023-1-28,Kaifeng,corn,blight,moderate,pesticide_spraying,healthy
2023-1-28,Anyang,rice,blight,moderate,none,dead
2023-1-28,Nanyang,rice,borer,moderate,pesticide_spraying,affected
2023-1-29,Zhengzhou,corn,borer,severe,crop_removal,affected
2023-1-29,Luoyang,rice,borer,mild,crop_removal,affected
2023-1-29,Kaifeng,corn,blight,moderate,pesticide_spraying,dead
2023-1-29,Anyang,rice,aphids,moderate,crop_removal,healthy
2023-1-29,Nanyang,rice,blight,moderate,none,healthy
2023-1-30,Zhengzhou,wheat,borer,mild,crop_removal,dead
2023-1-30,Luoyang,corn,aphids,moderate,crop_removal,affected
2023-1-30,Kaifeng,corn,borer,severe,crop_removal,healthy
2023-1-30,Anyang,wheat,borer,moderate,crop_removal,affected
2023-1-30,Nanyang,corn,borer,moderate,crop_removal,healthy
2023-1-31,Zhengzhou,corn,blight,severe,crop_removal,affected
2023-1-31,Luoyang,rice,blight,severe,crop_removal,dead
2023-1-31,Kaifeng,rice,borer,mild,pesticide_spraying,healthy
2023-1-31,Anyang,corn,borer,severe,pesticide_spraying,dead
2023-1-31,Nanyang,corn,blight,mild,crop_removal,affected
2023-2-1,Zhengzhou,wheat,blight,severe,crop_removal,affected
2023-2-1,Luoyang,corn,blight,severe,crop_removal,healthy
2023-2-1,Kaifeng,wheat,none,severe,none,affected
2023-2-1,Anyang,rice,blight,mild,none,affected
2023-2-1,Nanyang,rice,blight,mild,pesticide_spraying,dead
2023-2-2,Zhengzhou,wheat,none,mild,none,affected
2023-2-2,Luoyang,corn,blight,mild,none,healthy
2023-2-2,Kaifeng,corn,none,severe,pesticide_spraying,dead
2023-2-2,Anyang,wheat,aphids,severe,crop_removal,affected
2023-2-2,Nanyang,rice,blight,moderate,crop_removal,affected
2023-2-3,Zhengzhou,corn,aphids,moderate,crop_removal,healthy
2023-2-3,Luoyang,rice,blight,moderate,none,affected
2023-2-3,Kaifeng,corn,borer,severe,none,affected
2023-2-3,Anyang,corn,aphids,moderate,pesticide_spraying,dead
2023-2-3,Nanyang,rice,aphids,mild,none,affected
2023-2-4,Zhengzhou,rice,borer,mild,pesticide_spraying,affected
2023-2-4,Luoyang,wheat,none,severe,none,affected
2023-2-4,Kaifeng,wheat,none,moderate,pesticide_spraying,dead
2023-2-4,Anyang,rice,borer,moderate,none,affected
2023-2-4,Nanyang,corn,none,severe,crop_removal,dead
2023-2-5,Zhengzhou,wheat,blight,mild,crop_removal,healthy
2023-2-5,Luoyang,corn,none,severe,crop_removal,healthy
2023-2-5,Kaifeng,rice,none,severe,none,affected
2023-2-5,Anyang,wheat,borer,moderate,pesticide_spraying,dead
2023-2-5,Nanyang,wheat,none,severe,pesticide_spraying,affected
2023-2-6,Zhengzhou,wheat,aphids,mild,pesticide_spraying,dead
2023-2-6,Luoyang,wheat,borer,severe,crop_removal,healthy
2023-2-6,Kaifeng,rice,none,moderate,crop_removal,affected
2023-2-6,Anyang,wheat,aphids,mild,crop_removal,healthy
2023-2-6,Nanyang,wheat,none,moderate,pesticide_spraying,dead
2023-2-7,Zhengzhou,corn,borer,mild,none,affected
2023-2-7,Luoyang,wheat,aphids,severe,none,healthy
2023-2-7,Kaifeng,rice,aphids,moderate,crop_removal,dead
2023-2-7,Anyang,wheat,none,severe,crop_removal,healthy
2023-2-7,Nanyang,rice,aphids,mild,none,dead
2023-2-8,Zhengzhou,rice,aphids,severe,crop_removal,healthy
2023-2-8,Luoyang,corn,aphids,mild,crop_removal,dead
2023-2-8,Kaifeng,corn,none,mild,crop_removal,dead
2023-2-8,Anyang,corn,blight,moderate,crop_removal,affected
2023-2-8,Nanyang,corn,none,moderate,none,healthy
2023-2-9,Zhengzhou,rice,borer,severe,none,affected
2023-2-9,Luoyang,corn,none,severe,crop_removal,affected
2023-2-9,Kaifeng,corn,aphids,mild,none,healthy
2023-2-9,Anyang,corn,aphids,mild,none,affected
2023-2-9,Nanyang,rice,none,moderate,pesticide_spraying,healthy
2023-2-10,Zhengzhou,corn,aphids,mild,none,affected
2023-2-10,Luoyang,wheat,borer,severe,crop_removal,healthy
2023-2-10,Kaifeng,wheat,blight,moderate,none,dead
2023-2-10,Anyang,rice,none,moderate,none,dead
2023-2-10,Nanyang,rice,borer,mild,crop_removal,affected
2023-2-11,Zhengzhou,rice,borer,moderate,pesticide_spraying,dead
2023-2-11,Luoyang,rice,aphids,mild,none,healthy
2023-2-11,Kaifeng,wheat,aphids,moderate,crop_removal,healthy
2023-2-11,Anyang,wheat,none,moderate,crop_removal,affected
2023-2-11,Nanyang,corn,blight,mild,crop_removal,affected
2023-2-12,Zhengzhou,rice,aphids,mild,crop_removal,dead
2023-2-12,Luoyang,wheat,blight,moderate,crop_removal,affected
2023-2-12,Kaifeng,corn,aphids,moderate,none,affected
2023-2-12,Anyang,corn,none,moderate,pesticide_spraying,affected
2023-2-12,Nanyang,rice,none,mild,crop_removal,healthy
2023-2-13,Zhengzhou,wheat,aphids,mild,pesticide_spraying,healthy
2023-2-13,Luoyang,corn,borer,mild,none,dead
2023-2-13,Kaifeng,rice,aphids,mild,pesticide_spraying,dead
2023-2-13,Anyang,rice,blight,moderate,pesticide_spraying,healthy
2023-2-13,Nanyang,rice,borer,moderate,crop_removal,healthy
2023-2-14,Zhengzhou,rice,borer,moderate,none,healthy
2023-2-14,Luoyang,corn,blight,mild,crop_removal,affected
2023-2-14,Kaifeng,wheat,none,mild,pesticide_spraying,affected
2023-2-14,Anyang,rice,none,moderate,pesticide_spraying,dead
2023-2-14,Nanyang,corn,borer,severe,none,dead
2023-2-15,Zhengzhou,wheat,blight,severe,none,healthy
2023-2-15,Luoyang,wheat,aphids,severe,none,healthy
2023-2-15,Kaifeng,wheat,borer,moderate,pesticide_spraying,healthy
2023-2-15,Anyang,corn,none,moderate,crop_removal,affected
2023-2-15,Nanyang,rice,none,moderate,none,dead
2023-2-16,Zhengzhou,wheat,blight,moderate,crop_removal,affected
2023-2-16,Luoyang,corn,none,mild,none,healthy
2023-2-16,Kaifeng,corn,none,moderate,none,affected
2023-2-16,Anyang,corn,borer,severe,none,healthy
2023-2-16,Nanyang,wheat,borer,moderate,none,dead
2023-2-17,Zhengzhou,wheat,aphids,severe,pesticide_spraying,affected
2023-2-17,Luoyang,corn,aphids,moderate,crop_removal,affected
2023-2-17,Kaifeng,wheat,blight,severe,none,healthy
2023-2-17,Anyang,corn,none,moderate,pesticide_spraying,healthy
2023-2-17,Nanyang,wheat,none,moderate,pesticide_spraying,dead
2023-2-18,Zhengzhou,corn,aphids,mild,none,affected
2023-2-18,Luoyang,corn,blight,severe,crop_removal,dead
2023-2-18,Kaifeng,rice,aphids,mild,crop_removal,affected
2023-2-18,Anyang,rice,blight,mild,pesticide_spraying,dead
2023-2-18,Nanyang,wheat,aphids,moderate,crop_removal,dead
2023-2-19,Zhengzhou,corn,borer,moderate,none,dead
2023-2-19,Luoyang,corn,blight,moderate,none,healthy
2023-2-19,Kaifeng,corn,none,moderate,pesticide_spraying,affected
2023-2-19,Anyang,wheat,none,severe,none,affected
2023-2-19,Nanyang,wheat,none,mild,crop_removal,affected
2023-2-20,Zhengzhou,rice,aphids,moderate,none,healthy
2023-2-20,Luoyang,corn,borer,moderate,none,healthy
2023-2-20,Kaifeng,wheat,blight,severe,pesticide_spraying,dead
2023-2-20,Anyang,rice,aphids,moderate,crop_removal,affected
2023-2-20,Nanyang,rice,aphids,severe,pesticide_spraying,healthy
2023-2-21,Zhengzhou,wheat,aphids,moderate,pesticide_spraying,affected
2023-2-21,Luoyang,corn,borer,severe,crop_removal,healthy
2023-2-21,Kaifeng,corn,blight,moderate,pesticide_spraying,healthy
2023-2-21,Anyang,wheat,aphids,severe,crop_removal,dead
2023-2-21,Nanyang,rice,none,moderate,none,affected
2023-2-22,Zhengzhou,corn,none,moderate,none,healthy
2023-2-22,Luoyang,rice,blight,mild,crop_removal,dead
2023-2-22,Kaifeng,rice,none,moderate,pesticide_spraying,affected
2023-2-22,Anyang,rice,aphids,severe,pesticide_spraying,affected
2023-2-22,Nanyang,corn,blight,moderate,crop_removal,healthy
2023-2-23,Zhengzhou,rice,blight,moderate,none,healthy
2023-2-23,Luoyang,wheat,blight,mild,none,affected
2023-2-23,Kaifeng,corn,none,severe,crop_removal,healthy
2023-2-23,Anyang,rice,none,moderate,none,dead
2023-2-23,Nanyang,corn,aphids,severe,none,healthy
2023-2-24,Zhengzhou,rice,aphids,severe,crop_removal,healthy
2023-2-24,Luoyang,rice,aphids,severe,none,affected
2023-2-24,Kaifeng,wheat,blight,moderate,crop_removal,healthy
2023-2-24,Anyang,wheat,aphids,mild,crop_removal,affected
2023-2-24,Nanyang,rice,borer,mild,none,dead
2023-2-25,Zhengzhou,wheat,blight,mild,none,affected
2023-2-25,Luoyang,wheat,aphids,moderate,crop_removal,dead
2023-2-25,Kaifeng,rice,blight,severe,pesticide_spraying,affected
2023-2-25,Anyang,rice,borer,severe,none,affected
2023-2-25,Nanyang,wheat,blight,severe,crop_removal,affected
2023-2-26,Zhengzhou,wheat,none,moderate,crop_removal,dead
2023-2-26,Luoyang,wheat,blight,mild,pesticide_spraying,affected
2023-2-26,Kaifeng,corn,aphids,severe,pesticide_spraying,dead
2023-2-26,Anyang,corn,borer,moderate,pesticide_spraying,healthy
2023-2-26,Nanyang,wheat,borer,mild,none,dead
2023-2-27,Zhengzhou,rice,blight,mild,crop_removal,dead
2023-2-27,Luoyang,corn,aphids,mild,none,dead
2023-2-27,Kaifeng,corn,none,severe,none,dead
2023-2-27,Anyang,wheat,none,severe,none,healthy
2023-2-27,Nanyang,corn,blight,mild,none,healthy
2023-2-28,Zhengzhou,wheat,aphids,moderate,pesticide_spraying,healthy
2023-2-28,Luoyang,rice,aphids,moderate,pesticide_spraying,healthy
2023-2-28,Kaifeng,corn,blight,moderate,crop_removal,dead
2023-2-28,Anyang,wheat,none,moderate,none,affected
2023-2-28,Nanyang,corn,borer,mild,none,healthy
2023-3-1,Zhengzhou,wheat,none,moderate,pesticide_spraying,healthy
2023-3-1,Luoyang,rice,blight,moderate,none,dead
2023-3-1,Kaifeng,rice,none,mild,crop_removal,dead
2023-3-1,Anyang,rice,aphids,mild,pesticide_spraying,dead
2023-3-1,Nanyang,rice,aphids,moderate,none,affected
2023-3-2,Zhengzhou,wheat,borer,mild,none,dead
2023-3-2,Luoyang,rice,aphids,mild,pesticide_spraying,healthy
2023-3-2,Kaifeng,corn,none,severe,pesticide_spraying,healthy
2023-3-2,Anyang,rice,none,mild,crop_removal,healthy
2023-3-2,Nanyang,corn,borer,moderate,crop_removal,affected
2023-3-3,Zhengzhou,rice,none,moderate,none,healthy
2023-3-3,Luoyang,wheat,aphids,mild,crop_removal,dead
2023-3-3,Kaifeng,wheat,aphids,mild,pesticide_spraying,healthy
2023-3-3,Anyang,rice,blight,severe,none,healthy
2023-3-3,Nanyang,wheat,aphids,mild,crop_removal,dead
2023-3-4,Zhengzhou,rice,borer,mild,none,healthy
2023-3-4,Luoyang,corn,borer,severe,pesticide_spraying,healthy
2023-3-4,Kaifeng,wheat,none,moderate,none,dead
2023-3-4,Anyang,wheat,aphids,mild,pesticide_spraying,dead
2023-3-4,Nanyang,corn,aphids,severe,pesticide_spraying,dead
2023-3-5,Zhengzhou,corn,blight,severe,none,healthy
2023-3-5,Luoyang,wheat,blight,severe,pesticide_spraying,affected
2023-3-5,Kaifeng,rice,borer,severe,pesticide_spraying,dead
2023-3-5,Anyang,rice,aphids,moderate,crop_removal,dead
2023-3-5,Nanyang,wheat,borer,mild,pesticide_spraying,healthy
2023-3-6,Zhengzhou,wheat,borer,mild,pesticide_spraying,dead
2023-3-6,Luoyang,rice,blight,moderate,none,affected
2023-3-6,Kaifeng,corn,none,severe,pesticide_spraying,affected
2023-3-6,Anyang,wheat,none,moderate,pesticide_spraying,healthy
2023-3-6,Nanyang,rice,aphids,severe,pesticide_spraying,affected
2023-3-7,Zhengzhou,rice,blight,severe,pesticide_spraying,healthy
2023-3-7,Luoyang,rice,none,mild,crop_removal,affected
2023-3-7,Kaifeng,rice,aphids,severe,pesticide_spraying,healthy
2023-3-7,Anyang,rice,aphids,moderate,crop_removal,affected
2023-3-7,Nanyang,rice,blight,moderate,none,affected
2023-3-8,Zhengzhou,rice,borer,mild,none,healthy
2023-3-8,Luoyang,wheat,blight,severe,none,dead
2023-3-8,Kaifeng,wheat,none,mild,crop_removal,affected
2023-3-8,Anyang,wheat,none,moderate,pesticide_spraying,healthy
2023-3-8,Nanyang,rice,aphids,mild,crop_removal,affected
2023-3-9,Zhengzhou,rice,aphids,mild,pesticide_spraying,affected
2023-3-9,Luoyang,rice,blight,severe,crop_removal,dead
2023-3-9,Kaifeng,corn,aphids,severe,none,healthy
2023-3-9,Anyang,rice,aphids,mild,none,healthy
2023-3-9,Nanyang,corn,blight,moderate,pesticide_spraying,dead
2023-3-10,Zhengzhou,rice,none,severe,crop_removal,healthy
2023-3-10,Luoyang,corn,aphids,mild,crop_removal,affected
2023-3-10,Kaifeng,corn,blight,severe,pesticide_spraying,dead
2023-3-10,Anyang,rice,blight,mild,crop_removal,dead
2023-3-10,Nanyang,wheat,borer,mild,none,dead
2023-3-11,Zhengzhou,corn,blight,severe,none,dead
2023-3-11,Luoyang,rice,aphids,moderate,crop_removal,healthy
2023-3-11,Kaifeng,rice,blight,severe,pesticide_spraying,healthy
2023-3-11,Anyang,rice,borer,moderate,pesticide_spraying,healthy
2023-3-11,Nanyang,corn,none,severe,pesticide_spraying,affected
2023-3-12,Zhengzhou,wheat,borer,mild,none,affected
2023-3-12,Luoyang,corn,aphids,moderate,none,dead
2023-3-12,Kaifeng,wheat,none,moderate,none,dead
2023-3-12,Anyang,corn,borer,severe,none,affected
2023-3-12,Nanyang,corn,blight,severe,pesticide_spraying,dead
2023-3-13,Zhengzhou,corn,borer,mild,crop_removal,healthy
2023-3-13,Luoyang,rice,borer,severe,pesticide_spraying,affected
2023-3-13,Kaifeng,corn,aphids,severe,none,dead
2023-3-13,Anyang,rice,blight,moderate,pesticide_spraying,dead
2023-3-13,Nanyang,corn,aphids,moderate,none,affected
2023-3-14,Zhengzhou,corn,borer,severe,none,affected
2023-3-14,Luoyang,rice,none,mild,crop_removal,healthy
2023-3-14,Kaifeng,corn,aphids,mild,none,healthy
2023-3-14,Anyang,wheat,borer,mild,pesticide_spraying,dead
2023-3-14,Nanyang,corn,none,mild,pesticide_spraying,dead
2023-3-15,Zhengzhou,corn,aphids,severe,none,affected
2023-3-15,Luoyang,corn,none,severe,crop_removal,dead
2023-3-15,Kaifeng,wheat,borer,severe,none,healthy
2023-3-15,Anyang,rice,none,moderate,none,affected
2023-3-15,Nanyang,wheat,none,mild,pesticide_spraying,affected
2023-3-16,Zhengzhou,rice,aphids,moderate,none,affected
2023-3-16,Luoyang,rice,none,severe,pesticide_spraying,affected
2023-3-16,Kaifeng,rice,borer,moderate,pesticide_spraying,affected
2023-3-16,Anyang,corn,aphids,severe,pesticide_spraying,affected
2023-3-16,Nanyang,wheat,none,mild,pesticide_spraying,healthy
2023-3-17,Zhengzhou,rice,none,severe,pesticide_spraying,healthy
2023-3-17,Luoyang,rice,borer,severe,crop_removal,affected
2023-3-17,Kaifeng,corn,none,severe,none,dead
2023-3-17,Anyang,corn,aphids,moderate,none,dead
2023-3-17,Nanyang,corn,borer,mild,none,dead
2023-3-18,Zhengzhou,corn,borer,severe,none,affected
2023-3-18,Luoyang,rice,borer,severe,none,affected
2023-3-18,Kaifeng,wheat,blight,mild,none,healthy
2023-3-18,Anyang,wheat,none,mild,pesticide_spraying,affected
2023-3-18,Nanyang,corn,blight,moderate,pesticide_spraying,healthy
2023-3-19,Zhengzhou,corn,borer,moderate,none,affected
2023-3-19,Luoyang,wheat,aphids,mild,pesticide_spraying,healthy
2023-3-19,Kaifeng,rice,borer,mild,none,healthy
2023-3-19,Anyang,wheat,blight,mild,pesticide_spraying,healthy
2023-3-19,Nanyang,rice,none,severe,none,dead
2023-3-20,Zhengzhou,corn,aphids,moderate,pesticide_spraying,dead
2023-3-20,Luoyang,wheat,blight,moderate,pesticide_spraying,healthy
2023-3-20,Kaifeng,rice,borer,moderate,crop_removal,dead
2023-3-20,Anyang,corn,blight,severe,none,affected
2023-3-20,Nanyang,wheat,borer,mild,crop_removal,healthy
2023-3-21,Zhengzhou,rice,borer,severe,pesticide_spraying,affected
2023-3-21,Luoyang,corn,aphids,severe,pesticide_spraying,healthy
2023-3-21,Kaifeng,corn,aphids,mild,crop_removal,healthy
2023-3-21,Anyang,wheat,none,mild,crop_removal,healthy
2023-3-21,Nanyang,rice,aphids,moderate,none,healthy
2023-3-22,Zhengzhou,rice,none,mild,crop_removal,healthy
2023-3-22,Luoyang,corn,borer,mild,pesticide_spraying,dead
2023-3-22,Kaifeng,corn,aphids,severe,pesticide_spraying,affected
2023-3-22,Anyang,rice,blight,mild,none,affected
2023-3-22,Nanyang,corn,borer,moderate,pesticide_spraying,dead
2023-3-23,Zhengzhou,rice,borer,moderate,crop_removal,affected
2023-3-23,Luoyang,rice,borer,mild,none,healthy
2023-3-23,Kaifeng,corn,none,severe,pesticide_spraying,affected
2023-3-23,Anyang,rice,aphids,mild,none,affected
2023-3-23,Nanyang,rice,blight,mild,crop_removal,healthy
2023-3-24,Zhengzhou,corn,aphids,moderate,pesticide_spraying,healthy
2023-3-24,Luoyang,corn,blight,moderate,crop_removal,affected
2023-3-24,Kaifeng,wheat,blight,severe,pesticide_spraying,healthy
2023-3-24,Anyang,corn,aphids,mild,pesticide_spraying,healthy
2023-3-24,Nanyang,corn,aphids,severe,pesticide_spraying,affected
2023-3-25,Zhengzhou,wheat,none,moderate,none,healthy
2023-3-25,Luoyang,corn,borer,moderate,none,healthy
2023-3-25,Kaifeng,rice,borer,mild,none,healthy
2023-3-25,Anyang,corn,borer,moderate,none,dead
2023-3-25,Nanyang,wheat,borer,severe,pesticide_spraying,dead
2023-3-26,Zhengzhou,corn,borer,moderate,pesticide_spraying,healthy
2023-3-26,Luoyang,wheat,blight,moderate,crop_removal,healthy
2023-3-26,Kaifeng,rice,aphids,severe,none,dead
2023-3-26,Anyang,corn,borer,severe,pesticide_spraying,affected
2023-3-26,Nanyang,wheat,blight,severe,crop_removal,healthy
2023-3-27,Zhengzhou,wheat,none,moderate,none,healthy
2023-3-27,Luoyang,wheat,borer,moderate,pesticide_spraying,dead
2023-3-27,Kaifeng,rice,none,severe,crop_removal,dead
2023-3-27,Anyang,rice,aphids,mild,none,healthy
2023-3-27,Nanyang,wheat,aphids,severe,pesticide_spraying,dead
2023-3-28,Zhengzhou,corn,none,moderate,none,dead
2023-3-28,Luoyang,wheat,borer,mild,none,affected
2023-3-28,Kaifeng,wheat,borer,severe,crop_removal,dead
2023-3-28,Anyang,wheat,borer,moderate,none,healthy
2023-3-28,Nanyang,rice,aphids,moderate,none,dead
2023-3-29,Zhengzhou,wheat,none,severe,pesticide_spraying,healthy
2023-3-29,Luoyang,rice,blight,severe,none,healthy
